dt,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
2025-08-30 12:00:00+09:00,,60.0,4.0,85.0,3.0,,,28.0,,2.4,233.0,1.8,-999.0,3.0
2025-08-30 13:00:00+09:00,,0.0,0.0,80.0,1.0,,,29.0,,3.3,239.0,2.0,-999.0,3.9
2025-08-30 14:00:00+09:00,,20.0,0.0,80.0,3.0,,,29.0,,3.2,241.0,1.8,-999.0,3.7
2025-08-30 15:00:00+09:00,,20.0,0.0,80.0,3.0,,,29.0,30.0,3.6,249.0,1.4,-999.0,3.9
2025-08-30 16:00:00+09:00,,0.0,0.0,80.0,1.0,,,29.0,,3.4,243.0,1.7,-999.0,3.8
2025-08-30 17:00:00+09:00,,0.0,0.0,75.0,1.0,,,29.0,,3.3,247.0,1.4,-999.0,3.6
2025-08-30 18:00:00+09:00,,0.0,0.0,80.0,1.0,,,28.0,,2.7,250.0,1.0,-999.0,2.9
2025-08-30 19:00:00+09:00,,0.0,0.0,85.0,1.0,,,26.0,,1.6,259.0,0.3,-999.0,1.6
2025-08-30 20:00:00+09:00,,20.0,0.0,90.0,3.0,,,26.0,,0.8,270.0,0.0,-999.0,0.8
2025-08-30 21:00:00+09:00,,20.0,0.0,90.0,3.0,,,25.0,,0.5,259.0,0.1,-999.0,0.5
2025-08-30 22:00:00+09:00,,30.0,0.0,95.0,4.0,,,25.0,,0.4,225.0,0.4,-999.0,0.6
2025-08-30 23:00:00+09:00,,30.0,0.0,95.0,4.0,,,25.0,,0.2,194.0,0.8,-999.0,0.8
2025-08-31 00:00:00+09:00,,30.0,0.0,95.0,4.0,,,24.0,,0.0,180.0,0.9,-999.0,0.9
2025-08-31 01:00:00+09:00,,30.0,0.0,95.0,4.0,,,25.0,,-0.1,167.0,0.9,-999.0,0.9
2025-08-31 02:00:00+09:00,,30.0,0.0,95.0,4.0,,,25.0,,-0.2,159.0,0.8,-999.0,0.9
2025-08-31 03:00:00+09:00,,30.0,0.0,95.0,4.0,,,25.0,,-0.5,139.0,0.7,-999.0,0.9
2025-08-31 04:00:00+09:00,,30.0,0.0,95.0,4.0,,,25.0,,-0.8,141.0,1.1,-999.0,1.4
2025-08-31 05:00:00+09:00,,30.0,0.0,95.0,4.0,,,25.0,,-0.7,150.0,1.4,-999.0,1.6
2025-08-31 06:00:00+09:00,,30.0,0.0,95.0,4.0,,25.0,25.0,,-0.7,150.0,1.4,-999.0,1.6
2025-08-31 07:00:00+09:00,,30.0,0.0,90.0,4.0,,,25.0,,-0.3,167.0,1.8,-999.0,1.8
2025-08-31 08:00:00+09:00,,30.0,0.0,90.0,4.0,,,26.0,,0.0,178.0,2.5,-999.0,2.5
2025-08-31 09:00:00+09:00,,30.0,0.0,80.0,4.0,,,27.0,,0.1,182.0,2.9,-999.0,2.9
2025-08-31 10:00:00+09:00,,30.0,0.0,80.0,4.0,,,28.0,,0.5,189.0,3.0,-999.0,3.0
2025-08-31 11:00:00+09:00,,30.0,0.0,70.0,4.0,,,29.0,,1.5,206.0,3.1,-999.0,3.4
2025-08-31 12:00:00+09:00,,60.0,4.0,70.0,4.0,,,30.0,,2.4,220.0,2.9,-999.0,3.8
2025-08-31 13:00:00+09:00,,30.0,0.0,70.0,4.0,,,30.0,,2.9,227.0,2.7,-999.0,4.0
2025-08-31 14:00:00+09:00,,60.0,4.0,75.0,4.0,,,30.0,,3.1,230.0,2.6,-999.0,4.0
2025-08-31 15:00:00+09:00,,20.0,0.0,75.0,3.0,,,30.0,31.0,3.5,236.0,2.4,-999.0,4.2
2025-08-31 16:00:00+09:00,,60.0,4.0,75.0,3.0,,,30.0,,2.9,240.0,1.7,-999.0,3.4
2025-08-31 17:00:00+09:00,,60.0,4.0,75.0,3.0,,,29.0,,1.7,237.0,1.1,-999.0,2.0
2025-08-31 18:00:00+09:00,,20.0,0.0,80.0,3.0,,,28.0,,0.4,202.0,1.0,-999.0,1.1
2025-08-31 19:00:00+09:00,,0.0,0.0,85.0,1.0,,,26.0,,0.0,174.0,1.0,-999.0,1.0
