dt,adm_cd2,adm_nm,nx,ny,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
2025-08-30 09:00:00+09:00,1147064000,신정3동,57,125,,60.0,4.0,90.0,4.0,,,28.0,,0.9,208.0,1.7,-999.0,1.9
2025-08-30 10:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,85.0,4.0,,,29.0,,1.6,217.0,2.1,-999.0,2.6
2025-08-30 11:00:00+09:00,1147064000,신정3동,57,125,,60.0,4.0,85.0,3.0,,,29.0,,1.9,221.0,2.2,-999.0,2.9
2025-08-30 12:00:00+09:00,1147064000,신정3동,57,125,,60.0,4.0,80.0,3.0,,,30.0,,2.4,227.0,2.2,-999.0,3.3
2025-08-30 13:00:00+09:00,1147064000,신정3동,57,125,,0.0,0.0,80.0,1.0,,,30.0,,3.2,235.0,2.2,-999.0,3.9
2025-08-30 14:00:00+09:00,1147064000,신정3동,57,125,,0.0,0.0,75.0,1.0,,,30.0,,2.8,234.0,2.0,-999.0,3.4
2025-08-30 15:00:00+09:00,1147064000,신정3동,57,125,,0.0,0.0,75.0,1.0,,,30.0,30.0,3.4,241.0,1.9,-999.0,3.9
2025-08-30 16:00:00+09:00,1147064000,신정3동,57,125,,0.0,0.0,75.0,1.0,,,30.0,,3.4,238.0,2.1,-999.0,4.0
2025-08-30 17:00:00+09:00,1147064000,신정3동,57,125,,0.0,0.0,75.0,1.0,,,30.0,,3.3,243.0,1.7,-999.0,3.7
2025-08-30 18:00:00+09:00,1147064000,신정3동,57,125,,0.0,0.0,75.0,1.0,,,30.0,,2.4,240.0,1.4,-999.0,2.8
2025-08-30 19:00:00+09:00,1147064000,신정3동,57,125,,0.0,0.0,80.0,1.0,,,29.0,,1.4,247.0,0.6,-999.0,1.5
2025-08-30 20:00:00+09:00,1147064000,신정3동,57,125,,0.0,0.0,85.0,1.0,,,28.0,,0.6,236.0,0.4,-999.0,0.7
2025-08-30 21:00:00+09:00,1147064000,신정3동,57,125,,20.0,0.0,85.0,3.0,,,28.0,,0.4,225.0,0.4,-999.0,0.6
2025-08-30 22:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,27.0,,0.2,196.0,0.7,-999.0,0.7
2025-08-30 23:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,27.0,,0.1,186.0,1.0,-999.0,1.0
2025-08-31 00:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,27.0,,0.0,174.0,1.0,-999.0,1.0
2025-08-31 01:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,26.0,,-0.2,162.0,0.9,-999.0,0.9
2025-08-31 02:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,26.0,,-0.2,157.0,0.7,-999.0,0.8
2025-08-31 03:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,26.0,,-0.7,127.0,0.6,-999.0,1.0
2025-08-31 04:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,95.0,4.0,,,26.0,,-1.0,132.0,1.0,-999.0,1.5
2025-08-31 05:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,26.0,,-0.6,153.0,1.4,-999.0,1.6
2025-08-31 06:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,25.0,26.0,,-0.7,148.0,1.3,-999.0,1.5
2025-08-31 07:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,26.0,,-0.5,161.0,1.7,-999.0,1.8
